ID	DOCULECT	CONCEPT	VALUE	IPA	TOKENS	SEGMENTS	MORPHEMES	COGIDS	AUTOID	STRICTID	LOOSEID	CHARACTERS_IS	CHARACTERS	LEXEME_NOTE	CONCEPT_CHINESE	STRUCTURE	NOTE
3773	Changsha	freeze	ɕia¹¹ lin¹³	ɕja¹¹+lin¹³	ɕ j a ¹¹ + l i n ¹³	ɕ i a ¹¹ + l i n ¹³	FREEZE _freeze	58 680	297	274	163	下凜	下 凜		結冰	i m n t + i n c t	
3774	Changsha	freeze	kəu⁵⁵⁻⁴¹ lin¹³	kəu⁵⁵+lin¹³	k əu ⁵⁵ + l i n ¹³	k ə u ⁴¹/⁵⁵ + l i n ¹³	freeze FREEZE	681 84	294	275	162	构凌	构 凌		結冰	i n N t + i n c t	
3775	Loudi	freeze	tɕʰiɔ⁴² kɤ³⁵	tɕʰjɔ⁴²+kɤ³⁵	tɕʰ j ɔ ⁴² + k ɤ ³⁵	tɕʰ i ɔ ⁴² + k ɤ ³⁵	freeze FREEZE	216 681	294	276	162	扯构	扯 构		結冰	i m n t + i n t	
3776	Nanchang	freeze	tɕiɛt⁵ pin⁴²	tɕjɛt⁵+pin⁴²	tɕ j ɛ t ⁵ + p i n ⁴²	tɕ i ɛ t ⁵ + p i n ⁴²	_freeze FREEZE	678 83	292	272	161	結冰	結 冰		結冰	i m n c t + i n c t	
3777	Meixian	freeze	ket¹ pen³³	ket¹+pen³³	k e t ¹ + p e n ³³	k e t ¹ + p e n ³³	_freeze FREEZE	678 83	292	272	161	結冰	結 冰		結冰	i n c t + i n c t	
3778	Guilin	freeze	tɕie⁵⁵⁻²¹ pi⁴²	tɕje⁵⁵+pi⁴²	tɕ j e ⁵⁵ + p i ⁴²	tɕ i e ²¹/⁵⁵ + p i ⁴²	_freeze FREEZE	678 83	292	272	161	結冰	結 冰		結冰	i m n t + i n t	
3779	Guangzhou	freeze	kit³ eŋ⁵⁵	kit³+eŋ⁵⁵	k i t ³ + e ŋ ⁵⁵	k i t ³ + e ŋ ⁵⁵	_freeze FREEZE	678 83	292	272	161	結冰	結 冰		結冰	i n c t + n c t	
3780	Fuzhou	freeze	kieʔ⁵⁻²¹ piŋ⁵⁵	kjeʔ⁵+piŋ⁵⁵	k j e ʔ ⁵ + p i ŋ ⁵⁵	k i e ʔ ²¹/⁵ + p i ŋ ⁵⁵	_freeze FREEZE	678 83	292	272	161	結冰	結 冰		結冰	i m n c t + i n c t	
3781	Xiamen	freeze	kiat³²*⁻⁵ piŋ⁵⁵	kjat³²+piŋ⁵⁵	k j a t ³² + p i ŋ ⁵⁵	k i a t ⁵*/³² + p i ŋ ⁵⁵	_freeze FREEZE	678 83	292	272	161	結冰	結 冰		結冰	i m n c t + i n c t	
3782	Beijing	near	tɕin⁵¹	tɕin⁵¹	tɕ i n ⁵¹	tɕ i n ⁵¹	NEAR	682	626	535	284	進	進		近	i n c t	
3783	Ha_erbin	near	tɕin⁵³	tɕin⁵³	tɕ i n ⁵³	tɕ i n ⁵³	NEAR	682	626	535	284	進	進		近	i n c t	
3784	Jinan	near	tɕiẽ³¹	tɕjẽ³¹	tɕ j ẽ ³¹	tɕ i ẽ ∼ ³¹	NEAR	682	626	535	284	進	進		近	i m n c t	
3785	Rongcheng	near	cin³³⁴	cin³³⁴	c i n ³³⁴	c i n ³³⁴	NEAR	682	626	535	284	進	進		近	i n c t	
3786	Taiyuan	near	tɕiŋ⁴⁵	tɕiŋ⁴⁵	tɕ i ŋ ⁴⁵	tɕ i ŋ ⁴⁵	NEAR	682	626	535	284	進	進		近	i n c t	
3787	Xi_an	near	tɕin⁴⁴	tɕin⁴⁴	tɕ i n ⁴⁴	tɕ i n ⁴⁴	NEAR	682	626	535	284	進	進		近	i n c t	
3788	Chengdu	near	tɕin²¹³	tɕin²¹³	tɕ i n ²¹³	tɕ i n ²¹³	NEAR	682	626	535	284	進	進		近	i n c t	
3789	Nanjing	near	tɕin⁴⁴	tɕin⁴⁴	tɕ i n ⁴⁴	tɕ i n ⁴⁴	NEAR	682	626	535	284	進	進		近	i n c t	
3790	Jixi	near	tɕʰiɑ̃²¹³	tɕʰjɑ̃²¹³	tɕʰ j ɑ̃ ²¹³	tɕʰ i ɑ̃ ∼ ²¹³	NEAR	682	626	535	284	進	進		近	i m n c t	
3791	Suzhou	near	dʑin²³¹	dʑin²³¹	dʑ i n ²³¹	dʑ i n ²³¹	NEAR	682	626	535	284	進	進		近	i n c t	
3792	Wenzhou	near	dziaŋ²⁴	dzjaŋ²⁴	dz j a ŋ ²⁴	dz i a ŋ ²⁴	NEAR	682	626	535	284	進	進		近	i m n c t	
3793	Changsha	near	tɕin⁴¹	tɕin⁴¹	tɕ i n ⁴¹	tɕ i n ⁴¹	NEAR	682	626	535	284	進	進		近	i n c t	
3794	Loudi	near	din¹¹	din¹¹	d i n ¹¹	d i n ¹¹	NEAR	682	626	535	284	進	進		近	i n c t	
3795	Nanchang	near	tɕʰin²¹	tɕʰin²¹	tɕʰ i n ²¹	tɕʰ i n ²¹	NEAR	682	626	535	284	進	進		近	i n c t	
3796	Meixian	near	kʰiun⁵³	kʰjun⁵³	kʰ j u n ⁵³	kʰ i u n ⁵³	NEAR	682	626	535	284	進	進		近	i m n c t	
3797	Guilin	near	tɕiŋ²⁵	tɕiŋ²⁵	tɕ i ŋ ²⁵	tɕ i ŋ ²⁵	NEAR	682	626	535	284	進	進		近	i n c t	
3798	Guangzhou	near	kɐn²²	kɐn²²	k ɐ n ²²	k ɐ n ²²	NEAR	682	626	535	284	進	進		近	i n c t	
3799	Fuzhou	near	køyŋ²⁴²	køyŋ²⁴²	k øy ŋ ²⁴²	k ø y ŋ ²⁴²	NEAR	682	626	535	284	進	進		近	i n N c t	
3800	Fuzhou	near	køyŋ²⁴²⁻⁵⁵ nau⁵⁵	køyŋ²⁴²+nau⁵⁵	k øy ŋ ²⁴² + n au ⁵⁵	k ø y ŋ ⁵⁵/²⁴² + n a u ⁵⁵	NEAR _near	682 628	626	536	284	進兜	進 兜		近	i n N c t + i n N t	
3801	Xiamen	near	kun²²	kun²²	k u n ²²	k u n ²²	NEAR	682	626	535	284	進	進		近	i n c t	
3802	Beijing	cut	kʰan²¹⁴	kʰan²¹⁴	kʰ a n ²¹⁴	kʰ a n ²¹⁴	CUT	683	115	115	58	砍	砍		砍	i n c t	
3803	Ha_erbin	cut	kʰan²¹³	kʰan²¹³	kʰ a n ²¹³	kʰ a n ²¹³	CUT	683	115	115	58	砍	砍		砍	i n c t	
3804	Jinan	cut	kʰæ̃⁴⁵	kʰæ̃⁴⁵	kʰ æ̃ ⁴⁵	kʰ æ̃ ∼ ⁴⁵	CUT	683	115	115	58	砍	砍		砍	i n c t	
3805	Rongcheng	cut	kʰɐn²¹⁴	kʰɐn²¹⁴	kʰ ɐ n ²¹⁴	kʰ ɐ n ²¹⁴	CUT	683	115	115	58	砍	砍		砍	i n c t	
3806	Taiyuan	cut	kʰæ̃⁵³	kʰæ̃⁵³	kʰ æ̃ ⁵³	kʰ æ̃ ∼ ⁵³	CUT	683	115	115	58	砍	砍		砍	i n c t	
3807	Xi_an	cut	kʰæ̃⁵³	kʰæ̃⁵³	kʰ æ̃ ⁵³	kʰ æ̃ ∼ ⁵³	CUT	683	115	115	58	砍	砍		砍	i n c t	
3808	Chengdu	cut	kʰan⁵³	kʰan⁵³	kʰ a n ⁵³	kʰ a n ⁵³	CUT	683	115	115	58	砍	砍		砍	i n c t	
3809	Chengdu	cut	tsai⁵³	tsai⁵³	ts ai ⁵³	ts a i ⁵³	CUT	136	121	116	64	宰	宰		砍	i n N t	
3810	Nanjing	cut	kʰɑ̃¹¹	kʰɑ̃¹¹	kʰ ɑ̃ ¹¹	kʰ ɑ̃ ∼ ¹¹	CUT	683	115	115	58	砍	砍		砍	i n c t	
3811	Jixi	cut	tsoʔ³²*	tsoʔ³²	ts o ʔ ³²	ts o ʔ ³²*/³²	CUT	684	116	117	60	斫	斫		砍	i n c t	
3812	Suzhou	cut	tsᴇ⁴⁴	tse̞⁴⁴	ts e̞ ⁴⁴	ts e̞ ⁴⁴	CUT	685	119	118	62	斬	斬		砍	i n t	
3813	Wenzhou	cut	tɤu⁵¹	tɤu⁵¹	t ɤu ⁵¹	t ɤ u ⁵¹	CUT	686	120	119	63	剁	剁		砍	i n N t	
3814	Changsha	cut	kʰan⁴¹	kʰan⁴¹	kʰ a n ⁴¹	kʰ a n ⁴¹	CUT	683	115	115	58	砍	砍		砍	i n c t	
3815	Loudi	cut	tɕio³⁵	tɕio³⁵	tɕ io ³⁵	tɕ i o ³⁵	CUT	684	116	117	60	斫	斫		砍	i n N t	
3816	Nanchang	cut	kʰan²¹³	kʰan²¹³	kʰ a n ²¹³	kʰ a n ²¹³	CUT	683	115	115	58	砍	砍		砍	i n c t	
3817	Meixian	cut	sat¹	sat¹	s a t ¹	s a t ¹	CUT	687	118	120	61	殺	殺		砍	i n c t	
3818	Guilin	cut	kʰã²³	kʰã²³	kʰ ã ²³	kʰ ã ∼ ²³	CUT	683	115	115	58	砍	砍		砍	i n c t	
3819	Guangzhou	cut	hɐm³⁵	hɐm³⁵	h ɐ m ³⁵	h ɐ m ³⁵	CUT	683	115	115	58	砍	砍		砍	i n c t	
3820	Fuzhou	cut	tsʰɔy²¹²	tsʰɔy²¹²	tsʰ ɔy ²¹²	tsʰ ɔ y ²¹²	CUT	688	117	121	59	剉	剉		砍	i n N t	
3821	Fuzhou	cut	kʰaŋ³²	kʰaŋ³²	kʰ a ŋ ³²	kʰ a ŋ ³²	CUT	683	115	115	58	砍	砍		砍	i n c t	
3822	Xiamen	cut	kʰam⁵³	kʰam⁵³	kʰ a m ⁵³	kʰ a m ⁵³	CUT	683	115	115	58	砍	砍		砍	i n c t	
3823	Beijing	see	kʰan⁵¹⁻⁵³ tɕiɛn⁵¹⁻³¹	kʰan⁵¹+tɕjɛn⁵¹	kʰ a n ⁵¹ + tɕ j ɛ n ⁵¹	kʰ a n ⁵³/⁵¹ + tɕ i ɛ n ³¹/⁵¹	SEE _see	689 253	763	667	363	看見	看 見		看見	i n c t + i m n c t	
3824	Ha_erbin	see	kʰan⁵³ tɕian⁰	kʰan⁵³+tɕjan⁰	kʰ a n ⁵³ + tɕ j a n ⁰	kʰ a n ⁵³ + tɕ i a n ⁰	SEE _see	689 253	763	667	363	看見	看 見		看見	i n c t + i m n c t	
3825	Ha_erbin	see	tʂʰou²¹³⁻²¹ tɕian⁰	ʈʂʰou²¹³+tɕjan⁰	ʈʂʰ ou ²¹³ + tɕ j a n ⁰	ʈʂʰ o u ²¹/²¹³ + tɕ i a n ⁰	see _SEE	690 253	764	668	363	瞅見	瞅 見		看見	i n N t + i m n c t	
3826	Jinan	see	kʰæ̃³¹⁻⁴⁴ tɕiæ̃⁰	kʰæ̃³¹+tɕjæ̃⁰	kʰ æ̃ ³¹ + tɕ j æ̃ ⁰	kʰ æ̃ ∼ ⁴⁴/³¹ + tɕ i æ̃ ∼ ⁰	SEE _see	689 253	763	667	363	看見	看 見		看見	i n c t + i m n c t	
3827	Rongcheng	see	kʰɐn³³⁴ ciɐn³³⁴⁻³²	kʰɐn³³⁴+cjɐn³³⁴	kʰ ɐ n ³³⁴ + c j ɐ n ³³⁴	kʰ ɐ n ³³⁴ + c i ɐ n ³²/³³⁴	SEE _see	689 253	763	667	363	看見	看 見		看見	i n c t + i m n c t	
3828	Taiyuan	see	kʰæ̃⁴⁵ tɕie⁴⁵	kʰæ̃⁴⁵+tɕje⁴⁵	kʰ æ̃ ⁴⁵ + tɕ j e ⁴⁵	kʰ æ̃ ∼ ⁴⁵ + tɕ i e ⁴⁵	SEE _see	689 253	763	667	363	看見	看 見		看見	i n c t + i m n t	
3829	Xi_an	see	kʰæ̃⁴⁴ tɕiæ̃⁰	kʰæ̃⁴⁴+tɕjæ̃⁰	kʰ æ̃ ⁴⁴ + tɕ j æ̃ ⁰	kʰ æ̃ ∼ ⁴⁴ + tɕ i æ̃ ∼ ⁰	SEE _see	689 253	763	667	363	看見	看 見		看見	i n c t + i m n c t	
3830	Chengdu	see	kʰan²¹³ tau⁵³	kʰan²¹³+tau⁵³	kʰ a n ²¹³ + t au ⁵³	kʰ a n ²¹³ + t a u ⁵³	SEE _see	689 23	763	669	363	看倒	看 倒		看見	i n c t + i n N t	
3831	Nanjing	see	kʰɑ̃⁴⁴⁻⁴² tɕien⁴⁴	kʰɑ̃⁴⁴+tɕjen⁴⁴	kʰ ɑ̃ ⁴⁴ + tɕ j e n ⁴⁴	kʰ ɑ̃ ∼ ⁴²/⁴⁴ + tɕ i e n ⁴⁴	SEE _see	689 253	763	667	363	看見	看 見		看見	i n c t + i m n c t	
3832	Jixi	see	kʰɔ³⁵⁻⁵³ tɕie³⁵	kʰɔ³⁵+tɕje³⁵	kʰ ɔ ³⁵ + tɕ j e ³⁵	kʰ ɔ ⁵³/³⁵ + tɕ i e ³⁵	SEE _see	689 253	763	667	363	看見	看 見		看見	i n t + i m n t	
3833	Suzhou	see	køʰ⁵²⁻⁴⁴ tɕiɪ⁴¹²⁻²¹	kʰø⁵²+tɕjɪ⁴¹²	kʰ ø ⁵² + tɕ j ɪ ⁴¹²	kʰ ø ⁴⁴/⁵² + tɕ i ɪ ²¹/⁴¹²	SEE _see	689 253	763	667	363	看見<missing vowel in syllable 1>	看 見	missing vowel in syllable 1	看見	i n t + i m n t	
3834	Wenzhou	see	tsʰɿ⁴⁴⁻⁴² dʑia⁰	tsʰɿ⁴⁴+dʑja⁰	tsʰ ɿ ⁴⁴ + dʑ j a ⁰	tsʰ ɿ ⁴²/⁴⁴ + dʑ i a ⁰	SEE _see	691 692	767	670	364	朿+见着	朿見 著		看見	i n t + i m n t	
3835	Changsha	see	kʰan⁵⁵ tɕian⁵⁵	kʰan⁵⁵+tɕjan⁵⁵	kʰ a n ⁵⁵ + tɕ j a n ⁵⁵	kʰ a n ⁵⁵ + tɕ i a n ⁵⁵	SEE _see	689 253	763	667	363	看見	看 見		看見	i n c t + i m n c t	
3836	Loudi	see	kʰẽ³⁵ tɕiæ³⁵⁻⁵	kʰẽ³⁵+tɕjæ³⁵	kʰ ẽ ³⁵ + tɕ j æ ³⁵	kʰ ẽ ∼ ³⁵ + tɕ i æ ⁵/³⁵	SEE _see	689 253	763	667	363	看見	看 見		看見	i n c t + i m n t	
3837	Nanchang	see	kʰon²¹³ tɕiɛn⁴⁵	kʰon²¹³+tɕjɛn⁴⁵	kʰ o n ²¹³ + tɕ j ɛ n ⁴⁵	kʰ o n ²¹³ + tɕ i ɛ n ⁴⁵	SEE _see	689 253	763	667	363	看見	看 見		看見	i n c t + i m n c t	
3838	Nanchang	see	kʰon²¹³ tau⁴²	kʰon²¹³+tau⁴²	kʰ o n ²¹³ + t au ⁴²	kʰ o n ²¹³ + t a u ⁴²	SEE _see	689 254	763	671	363	看到	看 到		看見	i n c t + i n N t	
3839	Meixian	see	kʰon⁵³⁻⁵⁵ kian⁵³	kʰon⁵³+kjan⁵³	kʰ o n ⁵³ + k j a n ⁵³	kʰ o n ⁵⁵/⁵³ + k i a n ⁵³	SEE _see	689 253	763	667	363	看見	看 見		看見	i n c t + i m n c t	
3840	Guilin	see	kʰuã⁴²⁻²⁴ tɕiã⁴²⁻²²	kʰwã⁴²+tɕjã⁴²	kʰ w ã ⁴² + tɕ j ã ⁴²	kʰ u ã ∼ ²⁴/⁴² + tɕ i ã ∼ ²²/⁴²	SEE _see	689 253	763	667	363	看見	看 見		看見	i m n c t + i m n c t	
3841	Guangzhou	see	tʰɐi³⁵ kin³³	tʰɐi³⁵+kin³³	tʰ ɐi ³⁵ + k i n ³³	tʰ ɐ i ³⁵ + k i n ³³	see _SEE	693 253	764	672	363	睇見	睇 見		看見	i n N t + i n c t	
3842	Fuzhou	see	kʰaŋ²¹²⁻⁵³ ŋieŋ²¹²	kʰaŋ²¹²+ŋjeŋ²¹²	kʰ a ŋ ²¹² + ŋ j e ŋ ²¹²	kʰ a ŋ ⁵³/²¹² + ŋ i e ŋ ²¹²	SEE _see	689 253	763	667	363	看見	看 見		看見	i n c t + i m n c t	
3843	Xiamen	see	kʰuã²¹⁻⁵³ tio⁰	kʰwã²¹+tio⁰	kʰ w ã ²¹ + t io ⁰	kʰ u ã ∼ ⁵³/²¹ + t i o ⁰	SEE _see	689 255	763	673	363	看着	看 着		看見	i m n c t + i n N t	
3844	Xiamen	see	ki²²	ki²²	k i ²²	k i ²²	SEE	253	764	674	363	見	見		看見	i n t	
3845	Beijing	wide	kʰuan⁵⁵	kʰwan⁵⁵	kʰ w a n ⁵⁵	kʰ u a n ⁵⁵	WIDE	694	1089	935	519	寬	寬		寬	i m n c t	
3846	Ha_erbin	wide	kʰuan⁴⁴	kʰwan⁴⁴	kʰ w a n ⁴⁴	kʰ u a n ⁴⁴	WIDE	694	1089	935	519	寬	寬		寬	i m n c t	
3847	Jinan	wide	kʰuæ̃²¹⁴	kʰwæ̃²¹⁴	kʰ w æ̃ ²¹⁴	kʰ u æ̃ ∼ ²¹⁴	WIDE	694	1089	935	519	寬	寬		寬	i m n c t	
3848	Rongcheng	wide	kʰuɐn⁵²	kʰwɐn⁵²	kʰ w ɐ n ⁵²	kʰ u ɐ n ⁵²	WIDE	694	1089	935	519	寬	寬		寬	i m n c t	
3849	Taiyuan	wide	kʰuæ̃²¹	kʰwæ̃²¹	kʰ w æ̃ ²¹	kʰ u æ̃ ∼ ²¹	WIDE	694	1089	935	519	寬	寬		寬	i m n c t	
3850	Xi_an	wide	kʰuæ̃²¹	kʰwæ̃²¹	kʰ w æ̃ ²¹	kʰ u æ̃ ∼ ²¹	WIDE	694	1089	935	519	寬	寬		寬	i m n c t	
3851	Chengdu	wide	kʰuan⁴⁵	kʰwan⁴⁵	kʰ w a n ⁴⁵	kʰ u a n ⁴⁵	WIDE	694	1089	935	519	寬	寬		寬	i m n c t	
3852	Nanjing	wide	kʰuɑ̃³¹	kʰwɑ̃³¹	kʰ w ɑ̃ ³¹	kʰ u ɑ̃ ∼ ³¹	WIDE	694	1089	935	519	寬	寬		寬	i m n c t	
3853	Jixi	wide	kʰuɔ⁵⁵	kʰwɔ⁵⁵	kʰ w ɔ ⁵⁵	kʰ u ɔ ⁵⁵	WIDE	694	1089	935	519	寬	寬		寬	i m n t	
3854	Suzhou	wide	kʰuəʔ⁴	kʰwəʔ⁴	kʰ w ə ʔ ⁴	kʰ u ə ʔ ⁴	WIDE	694	1089	935	519	寬	寬		寬	i m n c t	
3855	Wenzhou	wide	kʰo⁴¹	kʰo⁴¹	kʰ o ⁴¹	kʰ o ⁴¹	WIDE	694	1089	935	519	寬	寬		寬	i n t	
3856	Changsha	wide	kʰõ³³	kʰõ³³	kʰ õ ³³	kʰ õ ∼ ³³	WIDE	694	1089	935	519	寬	寬		寬	i n c t	
3857	Loudi	wide	kʰuẽ⁴⁴	kʰwẽ⁴⁴	kʰ w ẽ ⁴⁴	kʰ u ẽ ∼ ⁴⁴	WIDE	694	1089	935	519	寬	寬		寬	i m n c t	
3858	Nanchang	wide	kʰuon⁴²	kʰwon⁴²	kʰ w o n ⁴²	kʰ u o n ⁴²	WIDE	694	1089	935	519	寬	寬		寬	i m n c t	
3859	Meixian	wide	fat¹	fat¹	f a t ¹	f a t ¹	WIDE	694	1089	935	519	寬	寬		寬	i n c t	
3860	Guilin	wide	kʰuã⁴²	kʰwã⁴²	kʰ w ã ⁴²	kʰ u ã ∼ ⁴²	WIDE	694	1089	935	519	寬	寬		寬	i m n c t	
3861	Guangzhou	wide	fun⁵⁵	fun⁵⁵	f u n ⁵⁵	f u n ⁵⁵	WIDE	694	1089	935	519	寬	寬		寬	i n c t	
3862	Fuzhou	wide	kʰuaʔ²⁴*	kʰwaʔ²⁴	kʰ w a ʔ ²⁴	kʰ u a ʔ */²⁴	WIDE	695	1090	936	520	闊	闊		寬	i m n c t	
3863	Fuzhou	wide	kʰuaŋ⁵⁵	kʰwaŋ⁵⁵	kʰ w a ŋ ⁵⁵	kʰ u a ŋ ⁵⁵	WIDE	694	1089	935	519	寬	寬		寬	i m n c t	
3864	Xiamen	wide	kʰuaʔ³²*	kʰwaʔ³²	kʰ w a ʔ ³²	kʰ u a ʔ ³²*/³²	WIDE	694	1089	935	519	寬	寬		寬	i m n c t	
3865	Beijing	tie	kʰuən²¹⁴	kʰwən²¹⁴	kʰ w ə n ²¹⁴	kʰ u ə n ²¹⁴	TIE	696	975	845	475	捆	捆		捆	i m n c t	
3866	Ha_erbin	tie	kʰuən²¹³	kʰwən²¹³	kʰ w ə n ²¹³	kʰ u ə n ²¹³	TIE	696	975	845	475	捆	捆		捆	i m n c t	
3867	Jinan	tie	kʰuẽ⁴⁵	kʰwẽ⁴⁵	kʰ w ẽ ⁴⁵	kʰ u ẽ ∼ ⁴⁵	TIE	696	975	845	475	捆	捆		捆	i m n c t	
3868	Rongcheng	tie	paŋ²¹⁴	paŋ²¹⁴	p a ŋ ²¹⁴	p a ŋ ²¹⁴	TIE	697	977	846	476	綁	綁		捆	i n c t	
3869	Taiyuan	tie	kʰuŋ⁵³	kʰuŋ⁵³	kʰ u ŋ ⁵³	kʰ u ŋ ⁵³	TIE	696	975	845	475	捆	捆		捆	i n c t	
3870	Taiyuan	tie	tsaʔ²	tsaʔ²	ts a ʔ ²	ts a ʔ ²	TIE	698	976	847	477	扎	扎		捆	i n c t	
3871	Xi_an	tie	kʰuẽ⁵³	kʰwẽ⁵³	kʰ w ẽ ⁵³	kʰ u ẽ ∼ ⁵³	TIE	696	975	845	475	捆	捆		捆	i m n c t	
3872	Xi_an	tie	tsɑ²¹	tsɑ²¹	ts ɑ ²¹	ts ɑ ²¹	TIE	698	976	847	477	扎	扎		捆	i n t	
3873	Chengdu	tie	kʰuɛn⁵³⁻⁵⁵ tɕʰi⁵³	kʰwɛn⁵³+tɕʰi⁵³	kʰ w ɛ n ⁵³ + tɕʰ i ⁵³	kʰ u ɛ n ⁵⁵/⁵³ + tɕʰ i ⁵³	TIE _tie	696 245	975	848	475	捆起	捆 起		捆	i m n c t + i n t	
3874	Chengdu	tie	tsa²¹	tsa²¹	ts a ²¹	ts a ²¹	TIE	698	976	847	477	扎	扎		捆	i n t	
3875	Nanjing	tie	kʰuən¹¹	kʰwən¹¹	kʰ w ə n ¹¹	kʰ u ə n ¹¹	TIE	696	975	845	475	捆	捆		捆	i m n c t	
3876	Jixi	tie	põ²¹³	põ²¹³	p õ ²¹³	p õ ∼ ²¹³	TIE	697	977	846	476	綁	綁		捆	i n c t	
3877	Suzhou	tie	kʰuən⁵²	kʰwən⁵²	kʰ w ə n ⁵²	kʰ u ə n ⁵²	TIE	696	975	845	475	捆	捆		捆	i m n c t	
3878	Suzhou	tie	tsaʔ⁴	tsaʔ⁴	ts a ʔ ⁴	ts a ʔ ⁴	TIE	698	976	847	477	扎	扎		捆	i n c t	
3879	Wenzhou	tie	ɦo²¹	ɦo²¹	ɦ o ²¹	ɦ o ²¹	TIE	696	975	845	475	捆	捆		捆	i n t	
3880	Changsha	tie	kʰuən⁴¹	kʰwən⁴¹	kʰ w ə n ⁴¹	kʰ u ə n ⁴¹	TIE	696	975	845	475	捆	捆		捆	i m n c t	
3881	Loudi	tie	kʰun⁴²	kʰun⁴²	kʰ u n ⁴²	kʰ u n ⁴²	TIE	696	975	845	475	捆	捆		捆	i n c t	
3882	Loudi	tie	tsa¹³	tsa¹³	ts a ¹³	ts a ¹³	TIE	698	976	847	477	扎	扎		捆	i n t	
3883	Loudi	tie	diɔ̃¹³	djɔ̃¹³	d j ɔ̃ ¹³	d i ɔ̃ ∼ ¹³	TIE	8	978	53	479	囗	囗		捆	i m n c t	
3884	Nanchang	tie	kʰun²¹³	kʰun²¹³	kʰ u n ²¹³	kʰ u n ²¹³	TIE	696	975	845	475	捆	捆		捆	i n c t	
3885	Nanchang	tie	tsat⁵	tsat⁵	ts a t ⁵	ts a t ⁵	TIE	698	976	847	477	扎	扎		捆	i n c t	
3886	Nanchang	tie	tʰiaʔ⁵	tʰjaʔ⁵	tʰ j a ʔ ⁵	tʰ i a ʔ ⁵	TIE	8	978	53	479	囗	囗		捆	i m n c t	
3887	Meixian	tie	kʰun³¹	kʰun³¹	kʰ u n ³¹	kʰ u n ³¹	TIE	696	975	845	475	捆	捆		捆	i n c t	
3888	Guilin	tie	kʰuɤŋ²²	kʰwɤŋ²²	kʰ w ɤ ŋ ²²	kʰ u ɤ ŋ ²²	TIE	696	975	845	475	捆	捆		捆	i m n c t	
3889	Guangzhou	tie	kʰuɐn³⁵	kʰwɐn³⁵	kʰ w ɐ n ³⁵	kʰ u ɐ n ³⁵	TIE	696	975	845	475	捆	捆		捆	i m n c t	
3890	Fuzhou	tie	kʰuŋ³²	kʰuŋ³²	kʰ u ŋ ³²	kʰ u ŋ ³²	TIE	696	975	845	475	捆	捆		捆	i n c t	
3891	Fuzhou	tie	tsaʔ²⁴*	tsaʔ²⁴	ts a ʔ ²⁴	ts a ʔ */²⁴	TIE	698	976	847	477	扎	扎		捆	i n c t	
3892	Xiamen	tie	kʰun⁵³	kʰun⁵³	kʰ u n ⁵³	kʰ u n ⁵³	TIE	696	975	845	475	捆	捆		捆	i n c t	
3893	Xiamen	tie	pak⁵	pak⁵	p a k ⁵	p a k ⁵	TIE	699	980	849	478	縛	縛		捆	i n c t	
3894	Beijing	pull	lᴀ⁵⁵	la̠⁵⁵	l a̠ ⁵⁵	l a̠ ⁵⁵	PULL	397	690	592	312	拉	拉		拉	i n t	
3895	Ha_erbin	pull	la⁴⁴	la⁴⁴	l a ⁴⁴	l a ⁴⁴	PULL	397	690	592	312	拉	拉		拉	i n t	
3896	Jinan	pull	la²¹⁴	la²¹⁴	l a ²¹⁴	l a ²¹⁴	PULL	397	690	592	312	拉	拉		拉	i n t	
3897	Rongcheng	pull	la²¹⁴	la²¹⁴	l a ²¹⁴	l a ²¹⁴	PULL	397	690	592	312	拉	拉		拉	i n t	
3898	Taiyuan	pull	la²¹	la²¹	l a ²¹	l a ²¹	PULL	397	690	592	312	拉	拉		拉	i n t	
3899	Xi_an	pull	lɑ²¹	lɑ²¹	l ɑ ²¹	l ɑ ²¹	PULL	397	690	592	312	拉	拉		拉	i n t	
3900	Chengdu	pull	la⁴⁵	la⁴⁵	l a ⁴⁵	l a ⁴⁵	PULL	397	690	592	312	拉	拉		拉	i n t	
3901	Nanjing	pull	lɑ³¹	lɑ³¹	l ɑ ³¹	l ɑ ³¹	PULL	397	690	592	312	拉	拉		拉	i n t	
3902	Jixi	pull	lɔ⁵⁵	lɔ⁵⁵	l ɔ ⁵⁵	l ɔ ⁵⁵	PULL	397	690	592	312	拉	拉		拉	i n t	
3903	Suzhou	pull	lɑ⁴⁴	lɑ⁴⁴	l ɑ ⁴⁴	l ɑ ⁴⁴	PULL	397	690	592	312	拉	拉		拉	i n t	
3904	Wenzhou	pull	la⁴⁴	la⁴⁴	l a ⁴⁴	l a ⁴⁴	PULL	397	690	592	312	拉	拉		拉	i n t	
3905	Changsha	pull	la³³	la³³	l a ³³	l a ³³	PULL	397	690	592	312	拉	拉		拉	i n t	
3906	Changsha	pull	tsʰə⁴¹	tsʰə⁴¹	tsʰ ə ⁴¹	tsʰ ə ⁴¹	PULL	216	694	593	316	扯	扯		拉	i n t	
3907	Loudi	pull	la⁴⁴	la⁴⁴	l a ⁴⁴	l a ⁴⁴	PULL	397	690	592	312	拉	拉		拉	i n t	
3908	Loudi	pull	tʰiɤ⁴⁴	tʰjɤ⁴⁴	tʰ j ɤ ⁴⁴	tʰ i ɤ ⁴⁴	PULL	700	695	594	317	挑	挑		拉	i m n t	
